Year,Company,Revenue,Net_Income,EPS,Debt_Equity_Ratio,ROE,ROA,EBITDA,Net_Profit_Margin,Operating_Cash_Flow,Market_Cap_B_USD
2022,AAPL,394328,83491.8000000001,6.11,2.3695,196.9589,28.2924,130541,25.3096,122151,2066.94
2021,AAPL,365817,83491.8000000001,5.61,1.9768,150.0713,26.9742,120233,25.8818,104038,2480.7700000000004
2020,AAPL,274515,57411,3.28,1.7208,87.8664,17.7256,77344,20.9136,80674,2255.97
2019,AAPL,260174,55256,2.97,1.194,61.0645,16.323,76477,21.2381,69391,1304.76
2018,AAPL,265595,59531,2.98,1.0685,55.5601,16.2775,81801,22.4142,77434,748.54
2017,AAPL,229234,48351,2.3025,0.863,36.0702,12.8826,71501,21.0924,64225,868.87
2016,AAPL,215639,45687,2.0775,0.6786,35.6237,14.2024,70529,21.1868,66231,617.59
2015,AAPL,233715,53394,2.305,0.539,44.7355,18.3899,82487,22.8458,81266,586.86
2014,AAPL,182795,39510,1.6125,0.3164,35.4201,17.042,60449,21.6144,59713,647.36
2013,AAPL,170910,37037,1.42,0.1373,29.9776,17.8923,55756,21.6705,53666,504.79
2012,AAPL,156508,41733,1.5775,0,35.3041,23.7033,58518,26.6651,50856,500.61
2011,AAPL,108249,25922,0.9886,0,33.8341,22.2753,35604,23.9466,37529,376.4
2010,AAPL,65225,14013,0.5411,0,29.3214,18.6385,19412,21.4841,18595,296.89
2009,AAPL,42905,8235,0.3243,0,26.0272,17.3365,12474,19.1936,10159,189.8
2023,MSFT,211915,72361,9.68,0.2291,35.0887,17.5644,102384,34.1462,87582,2451.23
2022,MSFT,198270,72738,9.65,0.2989,43.6755,19.937,97843,36.6863,89035,1787.73
2021,MSFT,168088,61271,8.05,0.4095,43.1522,18.3568,81602,36.4517,76740,2480.7700000000004
2020,MSFT,143015,44281,5.76,0.5353,37.4298,14.6961,65755,30.9625,60675,1681.61
2019,MSFT,125843,39240,5.06,0.7053,38.3465,13.6937,54641,31.1817,52185,1203.06
2018,MSFT,110360,16571,2.13,0.9217,20.0331,6.4018,45319,15.0154,43884,779.67
2017,MSFT,96571,25489,3.25,0.9827,29.0602,10.1829,37803,26.3941,39507,659.91
2016,MSFT,91154,20539,2.56,0.7425,28.5276,10.6162,33330,22.5322,33325,483.16
2015,MSFT,93580,12193,1.48,0.4407,15.2255,6.9885,31616,13.0295,29668,443.17
2014,MSFT,86833,22074,2.63,0.2522,24.5857,12.8051,32971,25.4212,32502,382.88
2013,MSFT,77849,21863,2.58,0.1976,27.6943,15.3499,30519,28.0839,28833,312.3
2012,MSFT,73723,16978,2,0.18,25.5835,14.0001,30923,23.0295,31626,224.8
2011,MSFT,69943,23150,2.69,0.2088,40.555,21.2964,29927,33.0984,26994,218.38
2010,MSFT,62484,18760,2.1,0.1286,40.628,21.7853,26771,30.0237,24073,238.78
2009,MSFT,58437,14569,1.62,0.1453,36.8295,18.7051,22925,24.9311,19037,270.64
